id,novelty_1,novelty_2,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1221,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1205,4,4,door stop,door stop,Pencil,pencil,0.95258,0.98051,0.99158,1.02759,1.04708,0.99987,0.11677
1205,4,3,straight edge,straight edge,Pencil,pencil,1.01255,1.01305,0.98631,0.98543,0.9581,0.99109,0.11255
1205,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1205,4,3,fire wood,fire wood,Pencil,pencil,0.95719,1.10618,1.02424,1.09056,1.05868,1.04737,0.15977
1138,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1138,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1138,4,4,to build something,build something,Pencil,pencil,0.93404,0.94961,1.04788,1.07022,1.08137,1.01662,0.13351
1186,2,3,poke,poke,Pencil,pencil,0.75593,0.79139,0.78827,0.91796,0.768,0.80431,-0.12159
1186,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1186,4,4,firewood,firewood,Pencil,pencil,0.83818,0.96927,0.91573,0.98246,0.86676,0.91448,0.00705
1186,5,4,pencil log cabins,pencil log cabins,Pencil,pencil,0.64693,0.7936,0.73621,0.82685,0.60277,0.72127,-0.21775
1186,3,3,bookmark,bookmark,Pencil,pencil,0.86627,0.72019,0.83167,0.82663,0.86544,0.82204,-0.06879
1186,3,4,projectile,projectile,Pencil,pencil,0.84904,0.82022,0.83757,1.06209,0.85455,0.88469,-0.04375
1186,3,3,spinner,spinner,Pencil,pencil,0.854,0.84986,0.84216,0.92579,1.04199,0.90276,0.01065
1147,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1147,5,5,use as a compass,use compass,Pencil,pencil,0.95864,0.93253,1.12036,0.98086,1.01333,1.00114,0.1361
1147,4,4,make a tower,make tower,Pencil,pencil,1.00883,0.9563,1.01302,1.00951,1.04716,1.00696,0.13357
1094,1,1,to write things,write things,Pencil,pencil,1.02073,1.06531,0.9378,1.02123,1.09238,1.02749,0.14963
1094,1,2,to erase things,erase things,Pencil,pencil,0.99876,1.11345,1.06524,1.0436,1.08994,1.0622,0.19202
1094,3,3,scrape grime out of tiny spaces that the point can get into,scrape grime tiny spaces point can get,Pencil,pencil,0.9656,1.00485,0.9319,0.87959,1.04883,0.96615,0.10124
1162,1,1,to write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1162,2,3,to stab,stab,Pencil,pencil,0.76732,0.84259,0.86454,1.0762,0.88356,0.88684,-0.04576
1162,1,2,to erase,erase,Pencil,pencil,0.75435,0.83367,0.79557,0.90237,0.83141,0.82347,-0.09439
1102,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1102,2,1,shading,shading,Pencil,pencil,0.78111,0.91751,0.80069,0.57601,0.74865,0.76479,-0.10562
1102,1,1,drawing,drawing,Pencil,pencil,0.51249,0.72441,0.59185,0.48388,0.58628,0.57978,-0.33407
1102,3,3,chewing,chewing,Pencil,pencil,0.73759,0.87253,0.85354,0.98942,0.75936,0.84249,-0.08965
1102,3,3,breaking,breaking,Pencil,pencil,0.94579,0.98364,1.03946,1.06641,0.98474,1.00401,0.11448
1102,3,3,projectile,projectile,Pencil,pencil,0.84904,0.82022,0.83757,1.06209,0.85455,0.88469,-0.04375
1102,1,2,erasing,erasing,Pencil,pencil,0.7737,0.79703,0.83385,0.85561,0.86551,0.82514,-0.07753
1102,4,3,drumsticks,drumsticks,Pencil,pencil,0.76971,0.81902,0.76319,0.99759,0.79304,0.82851,-0.10904
1102,4,3,fire,fire,Pencil,pencil,0.87846,1.06165,1.0026,0.99177,0.99651,0.9862,0.09995
1174,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1174,2,3,hit someone,hit someone,Pencil,pencil,0.89942,1.03086,1.00999,0.97602,0.98017,0.97929,0.09665
1174,3,3,reach something far away,reach something far away,Pencil,pencil,0.9206,0.90717,1.00277,1.03505,1.0449,0.9821,0.09569
1180,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1180,1,1,draw,draw,Pencil,pencil,0.61407,0.76352,0.73195,0.38514,0.79112,0.65716,-0.20267
1180,2,3,use to poke things,use poke things,Pencil,pencil,0.79515,0.96241,0.9051,1.07949,0.91023,0.93048,0.00652
1180,1,2,erase,erase,Pencil,pencil,0.75435,0.83367,0.79557,0.90237,0.83141,0.82347,-0.09439
1180,2,2,store in a pencil case,store pencil case,Pencil,pencil,0.73319,0.97177,0.97422,0.91521,1.03077,0.92503,0.03737
1180,3,3,use to part hair,use part hair,Pencil,pencil,0.87319,0.95893,0.95533,0.95819,0.92592,0.93431,0.04212
1193,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1193,2,3,stabbing,stabbing,Pencil,pencil,0.85071,0.88371,0.89352,1.05575,0.9331,0.92336,0.00801
1193,1,2,erasing,erasing,Pencil,pencil,0.7737,0.79703,0.83385,0.85561,0.86551,0.82514,-0.07753
1193,2,3,poking,poking,Pencil,pencil,0.8107,0.82697,0.83134,1.01846,0.72652,0.8428,-0.09251
1193,2,1,sketching,sketching,Pencil,pencil,0.54433,0.76239,0.55016,0.45989,0.61585,0.58652,-0.32268
1193,2,3,rolling,rolling,Pencil,pencil,0.84615,0.88882,0.96424,1.02337,0.83473,0.91146,4.90E-04
1193,4,3,marking measurement,marking measurement,Pencil,pencil,0.94105,0.98501,1.00955,1.03608,1.00508,0.99535,0.10861
1209,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1209,3,4,throwing at the ceiling to see if they stick,throwing ceiling see stick,Pencil,pencil,1.09203,0.99186,1.01554,0.97485,1.03889,1.02263,0.16157
1209,1,1,drawing/sketching,drawing sketching,Pencil,pencil,1.06191,1.02833,0.93428,1.0517,0.92713,1.00067,0.10856
1209,1,2,erasing,erasing,Pencil,pencil,0.7737,0.79703,0.83385,0.85561,0.86551,0.82514,-0.07753
1209,3,3,drumming,drumming,Pencil,pencil,0.89687,1.02918,0.91086,1.00882,0.92642,0.95443,0.05231
1123,1,1,drawing,drawing,Pencil,pencil,0.51249,0.72441,0.59185,0.48388,0.58628,0.57978,-0.33407
1123,2,1,making a list,making list,Pencil,pencil,0.89765,1.02994,1.03745,1.02386,1.07203,1.01219,0.13175
1123,2,1,math,math,Pencil,pencil,0.74749,0.76312,0.85472,0.98462,0.80833,0.83166,-0.0956
1123,2,2,sharpen,sharpen,Pencil,pencil,0.69221,0.68536,0.74707,0.77837,0.72919,0.72644,-0.19104
1123,2,1,take notes,take notes,Pencil,pencil,0.95782,0.92131,0.97398,1.00175,1.06728,0.98443,0.10522
1123,2,1,doodle,doodle,Pencil,pencil,0.57258,0.80662,0.61406,0.9808,0.77216,0.74924,-0.21951
1123,1,1,write a story,write story,Pencil,pencil,1.03873,1.06642,0.99344,0.91495,1.09087,1.02088,0.16657
1228,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1228,2,3,stab something,stab something,Pencil,pencil,0.97216,1.01084,1.05766,1.02372,0.97957,1.00879,0.12973
1228,2,2,chisel,chisel,Pencil,pencil,0.61515,0.63783,0.71738,0.9446,0.73097,0.72919,-0.22376
1228,2,3,paperweight,paperweight,Pencil,pencil,0.67156,0.66026,0.66284,1.00172,0.80566,0.76041,-0.19629
1195,1,1,to write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1195,1,1,to draw,draw,Pencil,pencil,0.61407,0.76352,0.73195,0.38514,0.79112,0.65716,-0.20267
1195,2,3,to stab someone,stab someone,Pencil,pencil,0.96717,0.96598,1.09173,1.04325,1.03675,1.02098,0.14605
1195,3,3,as a book marker,book marker,Pencil,pencil,0.94206,1.07128,0.93814,1.10939,1.11772,1.03572,0.13944
1195,4,3,to clean the jack in your Phone,clean jack phone,Pencil,pencil,0.89174,0.88868,1.02508,1.04932,0.9797,0.9669,0.07304
1192,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1192,4,3,hold up hair,hold hair,Pencil,pencil,1.02971,1.04239,1.03206,1.02144,1.04377,1.03387,0.16255
1192,3,3,wedge out a stuck item,wedge stuck item,Pencil,pencil,0.93156,1.06904,0.94751,1.07229,0.9695,0.99798,0.09623
1192,2,3,possible weapon,possible weapon,Pencil,pencil,0.90368,0.98114,1.06281,1.05656,1.06347,1.01353,0.13024
1087,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1087,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1087,3,3,scratching metal part of new gift card,scratching metal part new gift card,Pencil,pencil,1.01143,0.99405,0.99661,1.10585,1.05454,1.0325,0.14351
1087,2,3,poking a hole in a balloon,poking hole balloon,Pencil,pencil,1.04614,0.89078,0.93811,1.01212,0.93465,0.96436,0.07728
1087,2,3,paper weight,paper weight,Pencil,pencil,1.12531,0.99041,1.01921,0.92333,1.08789,1.02923,0.18309
1087,4,4,can make art with it statue,can make art statue,Pencil,pencil,0.90667,0.89564,0.91807,1.04115,1.04148,0.9606,0.06311
1133,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1133,3,3,drum stick,drum stick,Pencil,pencil,0.96016,0.99633,0.94602,1.06522,1.03958,1.00146,0.10807
1133,5,5,a magic wand,magic wand,Pencil,pencil,0.95623,0.9908,0.94097,1.04357,0.94138,0.97459,0.07621
1133,4,3,a unit of measurement,unit measurement,Pencil,pencil,1.02688,0.8933,1.05485,0.92663,1.03887,0.98811,0.13239
1133,3,3,scratch something,scratch something,Pencil,pencil,0.86925,1.00741,1.00667,0.95809,1.07626,0.98354,0.1079
1133,2,3,stab something,stab something,Pencil,pencil,0.97216,1.01084,1.05766,1.02372,0.97957,1.00879,0.12973
1230,1,1,write/draw,write draw,Pencil,pencil,1.0158,1.02467,1.04182,0.98658,1.09489,1.03275,0.1704
1230,3,3,stir something,stir something,Pencil,pencil,1.06368,0.9926,1.02702,0.85093,1.07802,1.00245,0.16225
1230,3,3,projectile,projectile,Pencil,pencil,0.84904,0.82022,0.83757,1.06209,0.85455,0.88469,-0.04375
1230,1,2,erase,erase,Pencil,pencil,0.75435,0.83367,0.79557,0.90237,0.83141,0.82347,-0.09439
1230,4,3,measure a quantity,measure quantity,Pencil,pencil,0.97229,0.95113,1.06741,0.90465,1.07733,0.99456,0.14204
1129,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1163,1,1,to write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1163,2,3,to twirl,twirl,Pencil,pencil,0.74192,0.79632,0.80119,0.88174,0.78901,0.80204,-0.11654
1163,2,3,to poke,poke,Pencil,pencil,0.75593,0.79139,0.78827,0.91796,0.768,0.80431,-0.12159
1163,2,3,to bite,bite,Pencil,pencil,0.79278,0.91952,0.87192,1.02027,0.79011,0.87892,-0.04879
1194,1,1,write with it,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1194,1,2,erase things,erase things,Pencil,pencil,0.99876,1.11345,1.06524,1.0436,1.08994,1.0622,0.19202
1194,3,3,twirl it around for fun,twirl around fun,Pencil,pencil,0.82275,0.91565,0.91223,1.04201,1.09611,0.95775,0.05655
1194,3,3,break it in half,break half,Pencil,pencil,0.90548,0.96187,0.97149,0.98963,1.01664,0.96902,0.08329
1194,4,4,use the graphite for something else,use graphite something else,Pencil,pencil,0.97639,1.06271,1.01791,1.05292,1.03977,1.02994,0.14752
1194,3,3,balance it between your nose and lips,balance nose lips,Pencil,pencil,0.86883,0.90079,0.90865,0.89218,0.88569,0.89123,7.70E-04
1194,3,4,throw them at a dart board,throw dart board,Pencil,pencil,0.9623,1.02527,0.90432,1.08099,1.06663,1.0079,0.11021
1226,1,1,to write with,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1226,1,1,to draw with,draw,Pencil,pencil,0.61407,0.76352,0.73195,0.38514,0.79112,0.65716,-0.20267
1226,2,3,to poke someone with,poke someone,Pencil,pencil,0.91114,0.98778,1.04006,1.01296,0.9978,0.98995,0.10678
1226,2,3,to draw blood by stabbing,draw blood stabbing,Pencil,pencil,0.91573,0.95762,1.04914,1.06448,0.94145,0.98568,0.09144
1121,1,1,write with,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1121,5,4,perform optical illusion by wiggling it,perform optical illusion wiggling,Pencil,pencil,0.92153,1.02666,1.0588,1.02084,0.9011,0.98579,0.09706
1121,4,4,build wooden structure,build wooden structure,Pencil,pencil,0.90248,0.9048,0.96474,0.9836,0.90112,0.93135,0.03655
1118,1,1,to write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1118,4,3,to keep up your hair,keep hair,Pencil,pencil,1.04659,0.98461,1.03437,0.95075,0.98086,0.99944,0.13567
1118,2,3,as a weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1118,5,5,as a symbol of intellect,symbol intellect,Pencil,pencil,1.02377,1.04862,1.0413,0.97755,1.00448,1.01914,0.15209
1118,5,4,as a dart,dart,Pencil,pencil,0.80274,0.95152,0.8282,0.94704,0.88616,0.88313,-0.0294
1118,4,3,use i fire wood,use fire wood,Pencil,pencil,0.83471,1.04192,0.99744,1.00684,0.93887,0.96396,0.06662
1373,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1373,3,3,drumming,drumming,Pencil,pencil,0.89687,1.02918,0.91086,1.00882,0.92642,0.95443,0.05231
1373,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1373,2,1,coloring,coloring,Pencil,pencil,0.72537,0.7719,0.72826,1.00417,0.66061,0.77806,-0.17816
1373,3,3,stirring,stirring,Pencil,pencil,0.96863,1.02595,0.90479,1.0115,0.96865,0.9759,0.08212
1533,1,1,to write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1533,2,3,to poke holes,poke holes,Pencil,pencil,1.01587,1.0436,1.01291,0.94641,1.10415,1.02459,0.16631
1533,1,1,to shade/draw,shade draw,Pencil,pencil,1.11814,1.00965,1.01854,0.98985,1.06976,1.04119,0.18279
1488,1,1,write words,write words,Pencil,pencil,1.12379,1.11714,0.94014,0.99045,1.08717,1.05174,0.18762
1488,1,2,erase words,erase words,Pencil,pencil,1.06116,1.0862,1.00305,0.8939,1.00255,1.00937,0.15462
1488,3,3,make music tapping on desk like percussion,make music tapping desk like percussion,Pencil,pencil,0.9898,1.07532,0.95282,0.99893,1.04596,1.01257,0.13355
1488,2,2,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1488,4,3,art piece,art piece,Pencil,pencil,1.09337,0.99484,1.03391,0.93922,1.06699,1.02567,0.17425
1460,2,1,sketching,sketching,Pencil,pencil,0.54433,0.76239,0.55016,0.45989,0.61585,0.58652,-0.32268
1460,2,1,taking notes,taking notes,Pencil,pencil,0.93024,0.98073,0.99573,1.03936,1.08174,1.00556,0.12177
1460,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1503,1,1,write an essay,write essay,Pencil,pencil,1.0161,1.12303,0.99411,1.05896,1.0633,1.0511,0.17083
1503,2,3,stab something,stab something,Pencil,pencil,0.97216,1.01084,1.05766,1.02372,0.97957,1.00879,0.12973
1503,3,4,use as a wood dowel,use wood dowel,Pencil,pencil,0.79649,0.92793,0.89532,0.91503,1.03372,0.9137,0.02349
1603,2,3,weapon,weapon,Pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.01923
1603,1,1,writing utensil,writing utensil,Pencil,pencil,1.0516,1.01584,0.98135,0.97041,1.05397,1.01463,0.14856
1603,1,2,eraser,eraser,Pencil,pencil,0.45189,0.52279,0.4885,0.63825,0.47723,0.51573,-0.44703
1603,3,3,clean your nails,clean nails,Pencil,pencil,0.99217,0.92292,1.0322,1.05582,0.99371,0.99936,0.1151
1603,2,3,poke something,poke something,Pencil,pencil,0.90977,1.00255,1.03027,1.0027,0.97452,0.98396,0.09957
1328,1,1,to write with,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1328,3,3,to break in half,break half,Pencil,pencil,0.90548,0.96187,0.97149,0.98963,1.01664,0.96902,0.08329
1328,4,4,to make a fire,make fire,Pencil,pencil,0.84825,1.01941,0.98733,1.12319,1.07493,1.01062,0.10563
1328,2,3,to use as a weapon,use weapon,Pencil,pencil,0.81837,1.04765,1.03463,1.05656,1.07287,1.00602,0.11356
1328,1,2,to erase something,erase something,Pencil,pencil,0.96082,1.12866,1.00608,1.00803,1.08652,1.03802,0.16388
1328,4,3,to use to hold your hair back,use hold hair back,Pencil,pencil,0.91441,1.0353,0.98577,0.95232,1.07006,0.99157,0.11826
1328,3,4,to give as a gift,give gift,Pencil,pencil,1.02622,0.91357,1.0445,1.01679,1.05654,1.01152,0.1422
1472,1,1,to write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1472,1,2,to erase,erase,Pencil,pencil,0.75435,0.83367,0.79557,0.90237,0.83141,0.82347,-0.09439
1472,2,3,to stab,stab,Pencil,pencil,0.76732,0.84259,0.86454,1.0762,0.88356,0.88684,-0.04576
1472,3,3,to clean nails,clean nails,Pencil,pencil,0.99217,0.92292,1.0322,1.05582,0.99371,0.99936,0.1151
1472,3,3,to engrave,engrave,Pencil,pencil,0.78712,0.81955,0.61222,0.8469,0.74332,0.76182,-0.17006
1472,3,3,to break,break,Pencil,pencil,0.80708,0.92212,0.97344,1.0196,0.97098,0.93864,0.03634
1614,1,1,writing/drawing,writing drawing,Pencil,pencil,1.07793,1.05892,0.90221,0.96318,1.12608,1.02566,0.16061
1614,1,2,erasing,erasing,Pencil,pencil,0.7737,0.79703,0.83385,0.85561,0.86551,0.82514,-0.07753
1614,4,3,using the sharp end to pick things up,using sharp end pick things,Pencil,pencil,0.79953,1.09601,0.89984,1.08919,0.94398,0.96571,0.04333
1614,4,3,holding something up with it,holding something,Pencil,pencil,1.03231,1.06798,0.99508,0.89858,1.01044,1.00088,0.14262
1320,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1320,3,3,scratching an itch,scratching itch,Pencil,pencil,1.00664,0.93284,0.91515,1.02394,0.98589,0.97289,0.08235
1320,3,3,hair clip,hair clip,Pencil,pencil,1.06205,1.00275,0.97871,0.98555,0.96994,0.9998,0.12558
1320,2,3,poke something,poke something,Pencil,pencil,0.90977,1.00255,1.03027,1.0027,0.97452,0.98396,0.09957
1463,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1463,3,3,chewing,chewing,Pencil,pencil,0.73759,0.87253,0.85354,0.98942,0.75936,0.84249,-0.08965
1463,1,2,erasing,erasing,Pencil,pencil,0.7737,0.79703,0.83385,0.85561,0.86551,0.82514,-0.07753
1463,3,3,burning,burning,Pencil,pencil,0.89027,0.98387,0.91942,0.97812,0.88794,0.93192,0.03171
1463,1,1,drawing,drawing,Pencil,pencil,0.51249,0.72441,0.59185,0.48388,0.58628,0.57978,-0.33407
1463,2,3,pointing,pointing,Pencil,pencil,0.81959,0.85672,0.92451,1.12848,0.82241,0.91034,-0.02431
1463,2,4,emphasizing,emphasizing,Pencil,pencil,0.93392,0.86871,0.97202,0.99532,0.9733,0.94865,0.06078
1463,3,3,throwing,throwing,Pencil,pencil,0.87048,0.97347,0.95357,0.90244,0.9068,0.92135,0.03599
1463,2,3,stabbing,stabbing,Pencil,pencil,0.85071,0.88371,0.89352,1.05575,0.9331,0.92336,0.00801
1442,1,1,write with,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1442,2,2,sharpen,sharpen,Pencil,pencil,0.69221,0.68536,0.74707,0.77837,0.72919,0.72644,-0.19104
1442,3,3,break,break,Pencil,pencil,0.80708,0.92212,0.97344,1.0196,0.97098,0.93864,0.03634
1442,2,3,poke holes with,poke holes,Pencil,pencil,1.01587,1.0436,1.01291,0.94641,1.10415,1.02459,0.16631
1442,3,3,tie up hair in a bun with,tie hair bun,Pencil,pencil,0.84227,1.04831,0.96255,1.0977,1.00999,0.99216,0.0833
1442,4,4,use to hold plants straight,use hold plants straight,Pencil,pencil,0.98219,1.04177,1.05345,0.88471,1.05906,1.00424,0.1533
1442,1,2,erase with,erase,Pencil,pencil,0.75435,0.83367,0.79557,0.90237,0.83141,0.82347,-0.09439
1413,1,1,write with,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1413,3,3,throw at something,throw something,Pencil,pencil,0.89279,1.00702,1.05375,0.96502,1.0089,0.9855,0.11049
1413,3,3,scrape something,scrape something,Pencil,pencil,0.90605,1.00925,0.94906,0.9928,1.04436,0.9803,0.09419
1507,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1507,2,3,stabbing someone,stabbing someone,Pencil,pencil,1.01558,0.93166,0.96118,1.04544,1.03736,0.99824,0.11373
1507,4,3,tying your hair up,tying hair,Pencil,pencil,0.925,0.85266,1.02733,0.97353,1.01337,0.95838,0.0817
1507,4,4,science experiment,science experiment,Pencil,pencil,0.97406,1.0024,1.00771,0.96414,1.05416,1.00049,0.13135
