id,item,response,rating,creativity
1442,Brick,to decorate,3,3
1614,Brick,Build a house with it,1,1
1614,Brick,use it as a weapon,2,2
1503,Brick,build a house,1,1
1503,Brick,break a window,2,2
1503,Brick,use as a weapon,2,2
1328,Brick,to break a window,2,2
1328,Brick,to make a building/house,1,1
1328,Brick,to use as a stand to reach something higher,2,2
1328,Brick,to use in the lifeguard test to represent carrying a person,5,5
1328,Brick,for use in self defense,2,2
1472,Brick,to smash,2,2
1472,Brick,to build,1,1
1472,Brick,to weigh down,2,2
1472,Brick,to exercise,3,2
1472,Brick,to eat,4,5
1472,Brick,to grind,3,2
1463,Brick,building,1,1
1463,Brick,lining for a patio of sorts,1,2
1463,Brick,weapon,2,2
1463,Brick,dust,2,4
1463,Brick,cooking,3,4
1463,Brick,planting,2,4
1531,Brick,build buildings,1,1
1531,Brick,throwing,3,2
1531,Brick,decoration,3,3
1531,Brick,to keep things on top of,2,3
1402,Brick,throwing,3,2
1402,Brick,building,1,1
1402,Brick,smashing,2,2
1402,Brick,weighing something down,2,2
1402,Brick,standing on it (for height),2,2
1526,Brick,build a house,1,1
1526,Brick,crack an object,3,2
1526,Brick,stepping block,3,2
1526,Brick,weights,2,2
1526,Brick,use to grind objects,2,2
1440,Brick,build a house,1,1
1440,Brick,break a window,2,2
1440,Brick,weigh down papers,2,2
1440,Brick,pave a street,1,2
1610,Brick,hit someone,2,2
1610,Brick,stack them up to form a wall,1,1
1610,Brick,break a window,2,2
1610,Brick,sit on it as a little stool,2,2
1610,Brick,open a bottle against it,3,3
1610,Brick,place something on top of it so it doesn't touch the ground,3,2
1320,Brick,build a building,1,1
1320,Brick,hit someone,2,2
1320,Brick,carve into it,3,2
1320,Brick,door stopper,2,2
1382,Brick,build something,1,1
1382,Brick,paper weight,2,2
1382,Brick,weapon,2,2
1382,Brick,weightlifting,3,3
1382,Brick,step stool,3,2
1382,Brick,break something,2,2
1382,Brick,write on other rocks,3,3
1458,Brick,build things,1,1
1458,Brick,hold things in place,2,2
1458,Brick,throw things,3,2
1559,Brick,to break a window,2,2
1559,Brick,to build a wall,1,1
1559,Brick,to make a stand for something,2,3
1559,Brick,to use as defense,2,2
1559,Brick,to weigh something down,2,2
1559,Brick,to prop something up like a phone,2,2
1347,Brick,To build a house,1,1
1347,Brick,to throw at someone,3,2
1347,Brick,to step on to reach something,3,2
1347,Brick,to hold down a tarp,3,2
1347,Brick,to sit on top of,2,2
1347,Brick,to stabilize a building,1,1
1417,Brick,build things,1,1
1417,Brick,step stool,3,2
1417,Brick,weapon,2,2
1417,Brick,pillow,5,4
1547,Brick,house building,1,1
1547,Brick,campfire,3,3
1547,Brick,throwing to get in a window,3,2
1563,Brick,to build a house,1,1
1563,Brick,to weigh something down,2,2
1563,Brick,to break a glass window,2,2
1507,Brick,throwing it at someone,3,2
1507,Brick,building something,1,1
1507,Brick,growing a plant,2,4
1507,Brick,blocking,3,3
1622,Brick,weapon,2,2
1622,Brick,phone,4,5
1622,Brick,building,1,1
1622,Brick,painting,3,3
1622,Brick,table,2,4
1366,Brick,to build,1,1
1366,Brick,use as an anchor,4,2
1366,Brick,as a throwing weapon,3,3
1366,Brick,crush insects,2,3
1413,Brick,build a house,1,1
1413,Brick,hold something up,2,2
1413,Brick,squash a bug,2,3
1413,Brick,throw at something,3,2
1500,Brick,building,1,1
1500,Brick,stand on top of,2,2
1500,Brick,throw it at a window,3,2
1500,Brick,level,2,3
1453,Brick,make a house,1,1
1453,Brick,a weapon,2,2
1453,Brick,ramp,2,3
1453,Brick,egg cracker,4,4
1514,Brick,weapon,2,2
1514,Brick,building block of a house,1,1
1514,Brick,"step ""ladder""",3,2
1514,Brick,paving stone,2,1
1514,Brick,weight,2,3
1514,Brick,doorstop,2,3
1449,Brick,Build houses,1,1
1449,Brick,catch them to help get strong hands,5,3
1449,Brick,grip test,5,5
1449,Brick,table,3,3
1449,Brick,cutting board,3,4
1506,Brick,use to build house,1,1
1506,Brick,use to build patio or side walk,2,1
1506,Brick,raise object up,2,2
1506,Brick,throwing bricks,3,2
1551,Brick,to use to build a structure,1,1
1551,Brick,to use as a doorstop,2,2
1551,Brick,to throw to break a window,3,2
1551,Brick,to use as a paperweight,2,2
1511,Brick,building a house,1,1
1511,Brick,knocking someone out,2,2
1511,Brick,making a decorative piece,3,3
1511,Brick,grinding to dust,2,3
1511,Brick,using as a step stool,3,2
1513,Brick,ise in buildings,1,1
1513,Brick,toys,4,4
1513,Brick,weapons,2,2
1518,Brick,build a house,1,1
1518,Brick,break something,2,2
1518,Brick,make a loud noise,3,4
1450,Brick,building,1,1
1450,Brick,weapon,2,2
1461,Brick,build,1,1
1461,Brick,throw,3,2
1461,Brick,break,2,2
1461,Brick,use as stepping stone,3,2
1461,Brick,support object like phone,2,2
1461,Brick,draw with it like chalk,4,3
1330,Brick,weapon,2,2
1330,Brick,used in buildings,1,1
1330,Brick,paper weight,2,2
1497,Brick,Build something,1,1
1497,Brick,paperweight,2,2
1497,Brick,break a window,2,2
1407,Brick,can be used as a doorstop,2,2
1407,Brick,can be used to break stuff,2,2
1425,Brick,build a structure,1,1
1425,Brick,hold a door open,2,2
1425,Brick,break something (by smashing),2,2
1425,Brick,to prop something up,2,2
1464,Brick,building a house,1,1
1464,Brick,breaking a window,2,2
1464,Brick,paving a street,2,1
1464,Brick,carving a name,3,3
1543,Brick,hit people with it,2,2
1543,Brick,build a house with it,1,1
1543,Brick,weight something down with it,2,2
1543,Brick,use to prop something up,2,3
1543,Brick,smash walnuts with it,3,3
1543,Brick,write a message on it and throw it,4,4
1598,Brick,Buildings,1,1
1598,Brick,toy,4,4
1598,Brick,door prop,2,3
1598,Brick,projectile,3,4
1334,Brick,house,1,1
1334,Brick,stack,2,2
1334,Brick,pile,2,2
1334,Brick,make a statue,3,4
1362,Brick,build walls,1,1
1362,Brick,break windows,2,2
1362,Brick,use as a stepping stool,3,2
1362,Brick,reinforce structures,3,2
1352,Brick,building,1,1
1352,Brick,hold a door open,2,2
1352,Brick,break a window,2,2
1367,Brick,to throw to break a window,3,2
1367,Brick,to build structures,2,1
1367,Brick,to use as a step,3,2
1367,Brick,to use to draw lines,3,3
1367,Brick,to put weight on something,2,2
1621,Brick,color it,4,3
1621,Brick,build with it,1,1
1621,Brick,hit something with it,2,2
1621,Brick,throw it,3,2
1621,Brick,use it to break something,2,2
1621,Brick,put it under your tire,3,2
1621,Brick,sit on it,2,2
1587,Brick,break window,2,3
1587,Brick,eat,4,5
1587,Brick,build,1,1
1587,Brick,stop something moving,2,4
1587,Brick,music,4,4
1587,Brick,test fall distance,5,5
1527,Brick,Build houses,1,1
1527,Brick,hit people,2,2
1527,Brick,weigh something down,2,2
1372,Brick,surround a garden,2,2
1372,Brick,use as a seat outside,2,2
1525,Brick,build a house,1,1
1525,Brick,throw at things,3,2
1525,Brick,use as a hammer,3,3
1525,Brick,use to prop up a table,2,2
1525,Brick,use as a weight,2,2
1525,Brick,break things with it,2,2
