id,item,response,ratings,creativity
1180,Cup,pour drink,1,1
1180,Cup,wash,2,2
1193,Cup,to hold liquid,1,1
1193,Cup,to use as a weight,3,3
1193,Cup,to capture a bug,3,3
1193,Cup,to speak into and alter your voice,4,4
1193,Cup,to suction,3,3
1209,Cup,drinking,1,1
1209,Cup,stacking,3,2
1209,Cup,beer pong,4,3
1209,Cup,pencil holder,2,2
1209,Cup,water cup for painting,2,2
1123,Cup,drinking,1,1
1123,Cup,measuring,2,2
1123,Cup,holding items/storage,2,2
1123,Cup,bra cup,4,4
1123,Cup,gift,3,3
1123,Cup,decoration,3,3
1228,Cup,drink water,1,1
1228,Cup,stand on,3,4
1228,Cup,dig a hole,3,3
1228,Cup,scoop up a liquid,2,2
1228,Cup,throw liquid,2,2
1228,Cup,hold change,2,3
1195,Cup,drinking out of,1,1
1195,Cup,stacking to make a pyramid,3,4
1195,Cup,playing cup pong,4,3
1195,Cup,making a little hut for insects,4,3
1192,Cup,fill,1,2
1192,Cup,drink,1,1
1192,Cup,capture insect,3,3
1192,Cup,store pencils/pens,2,3
1192,Cup,magnify audio ( if glass),4,5
1192,Cup,make music,3,4
1087,Cup,drink something from it,1,1
1087,Cup,hold pennies in it,2,3
1087,Cup,play games with it,3,3
1087,Cup,spit in it,2,2
1087,Cup,use it as a hat,4,4
1087,Cup,paint something on it,2,3
1133,Cup,hold liquid,1,1
1133,Cup,hide something under,3,3
1133,Cup,trap a bug,3,3
1133,Cup,hear the ocean up to your ear,4,5
1133,Cup,catch something thrown,4,2
1133,Cup,as a plate,3,3
1230,Cup,drink out of it,1,1
1230,Cup,use it as to bake mug cakes,3,2
1230,Cup,projectile,3,4
1230,Cup,musical instrument,3,4
1129,Cup,hold a beverage,1,1
1129,Cup,catch an insect,3,3
1129,Cup,hold flowers,3,3
1129,Cup,trace a circle,4,3
1129,Cup,hold snacks,2,2
1163,Cup,to drink out of,1,1
1163,Cup,to carry,2,3
1194,Cup,drink a liquid,1,1
1194,Cup,store a bug and bring it outside,3,3
1194,Cup,break for fun,3,3
1194,Cup,stack them,3,3
1194,Cup,use as a mold for a sand castle,3,4
1194,Cup,a game,3,3
1194,Cup,to store things,2,3
1226,Cup,to drink out of,1,1
1226,Cup,to carry liquids,1,1
1226,Cup,to take a spider out of the house,3,3
1226,Cup,to catch insects,3,3
1226,Cup,to keep a pet in,4,3
1226,Cup,to use for drinking games,1,3
1121,Cup,pour liquid into,1,1
1121,Cup,drink from,1,1
1121,Cup,trap insect,3,3
1121,Cup,amplify sound of speaker,4,4
1121,Cup,play cup pong,4,3
1121,Cup,make cup phone connected by,4,4
1118,Cup,to hold a beverage,1,1
1118,Cup,put a slogan on it,3,4
1118,Cup,to collect rain water,2,2
1118,Cup,to hold money,2,3
1118,Cup,to hold pens and pencils,2,3
1373,Cup,drink,1,1
1373,Cup,capture an insect,3,3
1373,Cup,make circles,4,4
1373,Cup,science experiment,4,4
1373,Cup,games,4,3
1373,Cup,eat from,2,2
1373,Cup,storage,2,3
1533,Cup,to rink from,2,4
1533,Cup,to hold pens or pencils,2,3
1533,Cup,use as a paper weight,2,3
1488,Cup,put beverages in,1,1
1488,Cup,use as container for objects (including other cups),2,2
1488,Cup,stacking (like cup stacking),3,2
1488,Cup,as decoration,3,3
1488,Cup,part of an art project,3,3
1488,Cup,a mini hat,4,4
1488,Cup,a weapon,3,3
1488,Cup,to spit,2,2
1460,Cup,holding pencils,2,3
1460,Cup,drinking,1,1
1460,Cup,painting,2,3
1460,Cup,two string communication thing,4,4
1503,Cup,contain a liquid,1,1
1503,Cup,make a song,3,4
1503,Cup,use as an amplifier,4,4
1603,Cup,drink,1,1
1603,Cup,pour,1,2
1603,Cup,hat,4,4
1603,Cup,stencil,4,3
1328,Cup,to drink out of,1,1
1328,Cup,to scoop water,2,1
1328,Cup,to bathe a baby,3,4
1328,Cup,to use in self defense,3,4
1328,Cup,to heat milk up in the microwave,2,2
1328,Cup,to eat food out of,2,2
1472,Cup,to drink,1,1
1472,Cup,to pour,2,1
1472,Cup,to scoop,2,2
1472,Cup,to splash,2,1
1472,Cup,to break,2,2
1472,Cup,to weapon,3,3
1472,Cup,to reflect,3,4
1614,Cup,drinking,1,1
1614,Cup,mixing paint,2,2
1614,Cup,baking a cupcake,3,2
1614,Cup,storing utensils,2,3
1614,Cup,making music with it,3,4
1320,Cup,shoe,5,3
1320,Cup,spoon,3,4
1320,Cup,beverage holder,1,1
1320,Cup,pencil case,2,3
1320,Cup,vase,3,4
1320,Cup,cupping,3,4
1320,Cup,art,3,3
1463,Cup,holding liquid,1,1
1463,Cup,holding solid,2,2
1463,Cup,heating,2,3
1463,Cup,cooling,2,3
1463,Cup,drinking,1,1
1463,Cup,eating,2,2
1463,Cup,breaking,2,3
1463,Cup,throwing/tossing,3,3
1463,Cup,storage,2,2
1442,Cup,drink out of,1,1
1442,Cup,measure liquids,2,2
1442,Cup,store items,2,2
1442,Cup,draw on,3,3
1442,Cup,scoop sand with to make a sand castle,3,3
1442,Cup,microwave with a liquid inside,1,2
1442,Cup,wash,2,2
1442,Cup,spit in,2,2
1442,Cup,use as an outline for a circle,4,3
1413,Cup,hold liquids,1,1
1413,Cup,hold household items( toothbrush),2,3
1413,Cup,stack cups,3,3
1413,Cup,throw at something,3,3
1507,Cup,holding things,2,3
1563,Cup,to drink something,1,1
1563,Cup,to pour liquid from one place to another,2,1
1563,Cup,to stack and make a pyramid,3,3
1563,Cup,to make food in the microwave,2,2
1622,Cup,drink,1,1
1622,Cup,pencil holder,2,3
1622,Cup,glasses,3,1
1622,Cup,cup stacking game,3,3
1622,Cup,magic trick,4,4
1622,Cup,high heels,5,5
1547,Cup,drinking,1,1
1547,Cup,heating up something,2,2
1547,Cup,trapping something like an insect/bug,3,3
1547,Cup,amplifies sound when you put your phone in it,4,4
1547,Cup,scoop,2,2
1547,Cup,mixer,2,2
1514,Cup,drinking,1,1
1514,Cup,hat,4,4
1514,Cup,pen holder,2,3
1514,Cup,stacking,3,3
1514,Cup,cleaning paint brushes,2,2
1514,Cup,hide something under it,3,3
1514,Cup,decoration,3,3
1528,Cup,to hold things,2,3
1528,Cup,to drink from,1,1
1528,Cup,to play games,3,3
1528,Cup,used in baseball for protection,4,4
1551,Cup,to hold a liquid,1,2
1551,Cup,to trap a bug,3,3
1551,Cup,to drink from,1,1
1366,Cup,drinking,1,1
1366,Cup,holding liquid,1,1
1366,Cup,pouring,2,2
1366,Cup,pencil holder,2,3
1366,Cup,throwing as a weapon,3,3
1366,Cup,shovel,3,3
1511,Cup,holding a liquid,1,1
1511,Cup,trapping a spider,3,3
1511,Cup,softening a stick of butter by microwave it first,2,2
1511,Cup,stacking,3,3
1599,Cup,To drink out of,1,1
1599,Cup,to eat out of,2,2
1599,Cup,to decorate,3,3
1599,Cup,to collect,4,3
1599,Cup,to break,3,3
1531,Cup,for drinking liquids,1,1
1531,Cup,for eating,2,2
1531,Cup,for serving liquids,1,2
1531,Cup,for hidings things,3,3
1531,Cup,stacking,3,3
1531,Cup,for painting,3,3
1382,Cup,drink out of,1,1
1382,Cup,stacking game,3,3
1382,Cup,build a tower,4,3
1382,Cup,pong,4,3
1382,Cup,hold things,2,3
1382,Cup,sand castle mold,3,3
1382,Cup,ice tray,3,4
1382,Cup,pencil holder,2,3
1382,Cup,decoration,3,3
1417,Cup,drinking,1,1
1417,Cup,weapon,3,3
1417,Cup,decor,3,3
1417,Cup,hold things,2,3
1417,Cup,place phone against to prop it up,2,3
1417,Cup,transfer liquid to something else,2,2
1417,Cup,to trap a bug,3,3
1453,Cup,to hold things,2,3
1453,Cup,to pour things,2,2
1453,Cup,to cover,2,3
1440,Cup,mug for coffee,1,2
1440,Cup,wine glass,1,2
1440,Cup,champagne glass,1,2
1440,Cup,drinking,1,1
1440,Cup,use to hold things like pencils,2,3
1506,Cup,drink,1,1
1506,Cup,hold pens,2,3
1506,Cup,hold snacks,2,2
1497,Cup,drink liquids from,1,1
1497,Cup,make a cup pyramid,3,3
1458,Cup,speaker,4,4
1458,Cup,fill with water,1,1
1458,Cup,measuring cup,2,2
1458,Cup,bail water out of boat,5,4
1458,Cup,bowl,2,2
1330,Cup,hold food/liquids,2,1
1330,Cup,mold for sand or concrete,3,3
1330,Cup,use the top for cookie cutters,4,4
1330,Cup,stencil,4,3
1513,Cup,drink out of,1,1
1513,Cup,pour things in to,2,2
1513,Cup,store candy,2,2
1513,Cup,magic tricks,4,4
1559,Cup,hold a drink,1,1
1559,Cup,place flowers,3,4
1559,Cup,make a sand castle,3,4
1559,Cup,use as a hat,4,4
1559,Cup,throw at something,3,3
1559,Cup,upside down to put something on top,3,4
1559,Cup,prop phone up,2,3
1559,Cup,to scoop measurements,2,2
1425,Cup,hold drink,1,1
1425,Cup,trap a bug inside it,3,3
1449,Cup,hold water,1,1
1449,Cup,stack,3,2
1449,Cup,make beats out of it,3,4
1449,Cup,stand on for height,4,3
1449,Cup,hear water sounds from ear,4,4
1347,Cup,To drink out of,1,1
1347,Cup,to trap a fly,3,3
1347,Cup,to use for the cup song,3,3
1347,Cup,to use as a target for ping pong balls or other small objects,4,3
1347,Cup,to crush,3,3
1347,Cup,to flip,4,3
1347,Cup,to spin around,3,3
1347,Cup,to flip coins into,4,3
1347,Cup,to use as a makeshift music instrument,3,4
1518,Cup,hold liquid,1,1
1518,Cup,squish a bug,2,3
1518,Cup,hold something up,2,3
1610,Cup,use it to hold pens,2,3
1610,Cup,drink from it,1,1
1610,Cup,cover a bug to take it outside without killing it,3,3
1610,Cup,throw ping pong balls into it,4,3
1407,Cup,used to play a game,3,3
1407,Cup,used to hold something in place,2,3
1407,Cup,used as a planting pot,3,3
1407,Cup,used as a toy,3,3
1450,Cup,drink,1,1
1450,Cup,beer games,4,3
1450,Cup,scoop things,2,2
1450,Cup,hold things like pens,2,3
1450,Cup,capture a bug,3,2
1598,Cup,holder,2,2
1598,Cup,drinker,1,1
1598,Cup,speaker,4,4
1543,Cup,put water in,1,1
1543,Cup,hit someone with,3,3
1543,Cup,use it to dig dirt,3,3
1543,Cup,break and use sharp edges as a knife,5,5
1543,Cup,use it for chinese cupping treatment,3,4
1543,Cup,cut baking dough,3,3
1543,Cup,use as rolling pin,4,3
1543,Cup,use to weigh paper down,2,3
1402,Cup,Holding liquid,1,1
1402,Cup,trapping a spider,3,3
1402,Cup,making a circle,4,3
1461,Cup,drink,1,1
1461,Cup,used as a little terrarium for bugs or small animals,5,5
1461,Cup,used as a projectile,3,3
1461,Cup,used as dog bowl,3,3
1461,Cup,a protective hat,4,3
1461,Cup,decor,3,4
1461,Cup,like a shovel or scoop,3,3
1352,Cup,to hold drinks,1,3
1352,Cup,makeshift vase,3,3
1352,Cup,stack in a pyramid,3,3
1526,Cup,to drink,1,1
1526,Cup,to capture insects,3,3
1526,Cup,to grow plants out of,3,4
1362,Cup,insulation,2,5
1362,Cup,hold liquids,1,1
1362,Cup,measure,2,2
1466,Cup,drink out of,1,1
1466,Cup,catch bugs,3,3
1466,Cup,stack,3,3
1587,Cup,drink,1,1
1587,Cup,rinse a paintbrush,2,2
1587,Cup,spit out sunflower seeds,2,2
1587,Cup,use to throw water at something,2,2
1587,Cup,hold pencils,2,3
1367,Cup,to contain,2,1
1367,Cup,use as weapon,3,3
1367,Cup,use as golf hole,5,5
1367,Cup,use to draw circles,4,4
1367,Cup,use to bake,3,3
1621,Cup,drink from it,1,1
1621,Cup,use to water plants,3,3
1621,Cup,put your toothbrush in it,2,3
1621,Cup,capture bug with it,3,3
1334,Cup,drink in it,1,1
1334,Cup,cup pong,4,3
1334,Cup,hold things,2,3
1334,Cup,body protection,4,4
1500,Cup,drink,1,1
1500,Cup,beer pong,4,3
1500,Cup,mixing bowl,3,2
1500,Cup,hold paints,2,2
1500,Cup,hold,2,1
1527,Cup,drinking,1,1
1527,Cup,stacking,3,3
1527,Cup,collecting change,2,3
1527,Cup,putting flowers in,3,4
1372,Cup,Hold pens,2,3
1372,Cup,trap a spider,3,3
1372,Cup,scoop dog food,2,3
1525,Cup,hold drinks,1,1
1525,Cup,make a cup snake thing,4,4
1525,Cup,use for drinking games,2,3
