id,item,response,novelty_1,novelty_2
1162,Box,store something,1,1
1162,Box,use it as a stool,2,2
1102,Box,storage,1,1
1102,Box,packing,1,1
1102,Box,cardboard robots,4,4
1102,Box,decorating,3,3
1102,Box,recycling,2,3
1102,Box,thinking outside of it,5,4
1102,Box,presents,2,2
1230,Box,ship something,2,1
1230,Box,store something,1,1
1230,Box,use it as a step stool,2,2
1230,Box,dance on it,4,4
1230,Box,use it as a table,3,3
1123,Box,cardboard,1,1
1123,Box,shipping,2,1
1123,Box,mail,2,1
1123,Box,ring,3,3
1123,Box,brown,2,1
1123,Box,cable,3,2
1129,Box,hold things,1,1
1129,Box,use as a stool,2,1
1228,Box,build a fort,3,3
1228,Box,store things,1,1
1228,Box,stack things,2,1
1228,Box,burn,3,3
1228,Box,hide in,4,3
1228,Box,make an animal bed,3,3
1193,Box,To hold items,1,1
1193,Box,to build a fort,3,3
1193,Box,to use as a sail,4,4
1193,Box,to capture someone/something,3,3
1193,Box,to hide in,4,3
1193,Box,to rip up and burn,3,3
1193,Box,to break your fall,3,4
1180,Box,storage,1,1
1180,Box,stool,2,2
1180,Box,chair,2,2
1180,Box,send,2,1
1180,Box,hold an animal,3,3
1209,Box,building a fort,3,3
1209,Box,shipping packages,2,1
1209,Box,storage,1,1
1209,Box,halloween costume,4,4
1209,Box,presents,2,1
1209,Box,arts and crafts,3,3
1209,Box,packaging food and other items,2,1
1226,Box,holding groceries,2,1
1226,Box,a fort,3,3
1226,Box,for lighting a fire,2,3
1226,Box,as a hat,3,3
1226,Box,as a storage device,1,1
1226,Box,as a kennel for a pet,3,3
1226,Box,as a projector,4,4
1121,Box,store,1,1
1121,Box,stepping stool,2,2
1121,Box,making three dimensional model or character,5,4
1121,Box,packaging to ship,2,1
1121,Box,hide something,3,3
1118,Box,for shoes,2,4
1118,Box,to pack stuff,2,1
1118,Box,to store things,1,1
1118,Box,for presents,2,1
1460,Box,storage,1,1
1460,Box,cat play thing,3,3
1460,Box,kid play thing,3,3
1460,Box,hat,3,3
1460,Box,science fair poster,3,2
1460,Box,Halloween costume,4,3
1488,Box,Contain objects,1,1
1488,Box,trap animals,3,3
1488,Box,as a hat in a costume,3,3
1488,Box,could be folded and flattened to be used as a support device,4,3
1488,Box,turned upside down and be used to sit on,2,2
1488,Box,as an instrument,4,4
1533,Box,storage,1,1
1533,Box,arts and crafts,2,3
1533,Box,cover from rain,3,3
1533,Box,material for design,2,3
1533,Box,step stool,2,2
1373,Box,build a fort. storage,3,1
1373,Box,carry something,1,1
1373,Box,sled,2,4
1373,Box,line the floor of something,2,2
1603,Box,cardboard,1,1
1603,Box,house,3,3
1603,Box,gift,2,1
1603,Box,packing,1,1
1603,Box,storage,1,1
1599,Box,storage,1,1
1599,Box,shipping,2,1
1599,Box,hide a body,5,3
1528,Box,to hold things,1,1
1528,Box,ship things,2,1
1528,Box,stack,2,2
1528,Box,support,2,2
1528,Box,a sport,4,3
1442,Box,to ship things with,2,1
1442,Box,to go sledding,2,4
1442,Box,to draw on,2,3
1442,Box,to play a drinking game where you write on it,3,3
1442,Box,to cut up,2,3
1442,Box,to make a hat out of,3,3
1442,Box,to hide,4,3
1442,Box,to bury,4,3
1442,Box,to use to move things,2,1
1442,Box,to buy groceries in,2,2
1442,Box,to sit in,2,2
1442,Box,to shred,2,2
1442,Box,to use as wallpaper,2,4
1614,Box,put a gift inside,2,2
1614,Box,use it as a shelter,3,3
1614,Box,use it for storage,1,1
1503,Box,contain things,1,1
1503,Box,soak up water,4,4
1503,Box,build a fort,3,3
1328,Box,to be used as storage,1,1
1328,Box,to transport things from place to place,2,1
1328,Box,to burn to make a fire,2,3
1328,Box,to stand on top of to reach something tall,2,2
1328,Box,to mail someone a package,2,1
1472,Box,storage,2,1
1472,Box,hat,3,3
1472,Box,shoes,2,3
1472,Box,letter box,2,2
1472,Box,litter box,2,2
1472,Box,ball,2,3
1463,Box,lining,2,3
1463,Box,stacking,2,2
1463,Box,storage,1,1
1463,Box,covering the floor for paint,4,3
1463,Box,crafts,3,3
1531,Box,to keep things inside of,1,1
1531,Box,for arts and crafts,3,3
1531,Box,to keep things on top of,2,2
1531,Box,to hide inside of,4,3
1402,Box,Store something,1,1
1402,Box,hide something,2,3
1402,Box,use it as a stand,2,2
1402,Box,ship something,2,1
1526,Box,pack,1,1
1526,Box,stepping box,2,2
1526,Box,cat house,3,2
1526,Box,hide and seek,4,4
1526,Box,chair,2,2
1440,Box,hold things,1,2
1440,Box,help move houses,2,1
1440,Box,build a fort,3,2
1440,Box,collection box,2,2
1440,Box,shoe box,2,2
1610,Box,hide something,2,2
1610,Box,ship something,2,1
1610,Box,carry something,1,2
1610,Box,store something,1,1
1610,Box,fold it up and recycle it,2,3
1610,Box,decorate it and use it to put a gift in,3,3
1610,Box,step on it to reach something,2,2
1320,Box,store items,1,1
1320,Box,wear as a hat,3,3
1320,Box,nightstand/table,2,2
1320,Box,chair,2,2
1320,Box,clothes,4,1
1320,Box,shoes,3,4
1382,Box,store things,1,1
1382,Box,carry things,1,1
1382,Box,house for a cat,3,3
1382,Box,fort,3,3
1382,Box,cardboard robot,4,3
1382,Box,halloween costume,4,3
1382,Box,shoe,3,2
1458,Box,store objects,1,1
1458,Box,use as shelter,3,2
1458,Box,create artwork,3,3
1458,Box,cover floor for protection,3,3
1559,Box,stepping stool,2,2
1559,Box,store supplies,1,1
1559,Box,prop open a door,2,3
1559,Box,to prop a phone up,2,3
1559,Box,to make a table,3,3
1559,Box,to stack,2,2
1559,Box,to reach something higher,2,2
1559,Box,to organize things,1,1
1347,Box,To ship an object,2,1
1347,Box,to sled down a hill,2,4
1347,Box,to build a house,2,2
1347,Box,to play pretend,3,3
1347,Box,to sit inside,2,3
1347,Box,to decorate,3,3
1417,Box,Store clothes,1,1
1417,Box,table,3,2
1417,Box,house,3,3
1417,Box,toy for dogs,3,3
1547,Box,holding something,1,3
1547,Box,mailing something,2,1
1547,Box,dragging something,2,2
1547,Box,storage,1,1
1547,Box,shelter,2,2
1547,Box,height,3,2
1547,Box,protecting something,3,3
1563,Box,to put stuff in,1,1
1563,Box,to cut into small pieces,2,3
1563,Box,to ship things to other people,2,1
1507,Box,holding stuff,1,2
1507,Box,sitting on it,2,3
1507,Box,covering up something,2,2
1507,Box,mailing something,2,1
1507,Box,hiding,4,2
1366,Box,to store things,1,2
1366,Box,to throw away,2,4
1366,Box,to transport a pet,3,2
1366,Box,to carry food,2,2
1366,Box,to use as a stepping stool,2,2
1413,Box,store items,1,1
1413,Box,transport items,2,1
1413,Box,squash bug,3,3
1413,Box,prop up item,2,2
1500,Box,spaceship,5,4
1500,Box,package,2,1
1500,Box,use cardboard to make sign,3,3
1500,Box,blanket,4,4
1500,Box,mat to sleep on,3,4
1500,Box,to carry things,1,2
1453,Box,hold things,1,1
1453,Box,hide things,2,2
1453,Box,ramp,3,4
1514,Box,storage,1,1
1514,Box,play car,4,3
1514,Box,shield,5,4
1514,Box,hiding spot,4,2
1514,Box,shipping package,2,1
1514,Box,garbage bin,2,3
1449,Box,build forts,3,3
1449,Box,store things,1,1
1449,Box,box jump for working out,3,4
1449,Box,steps,3,5
1449,Box,lift for weights,3,3
1449,Box,table,3,3
1449,Box,chair,3,3
1449,Box,plate,3,3
1506,Box,cat home,3,2
1506,Box,space ship,5,3
1506,Box,use to send things in,2,1
1506,Box,wrap gifts in it,2,2
1506,Box,pretend its a train,4,3
1551,Box,to store items in,1,2
1551,Box,to stack in order to make a play fort,2,2
1551,Box,to disassemble and put in the recycling,2,2
1511,Box,packaging something to ship,2,1
1511,Box,storing something,1,1
1511,Box,as a plaything for a cat,3,3
1511,Box,held over the head as protection from rain,3,3
1511,Box,broken down for spare cardboard,3,2
1511,Box,drawn on with markers for a fun activity,3,3
1513,Box,store items,1,2
1513,Box,cardboard can be used to make other things,3,3
1513,Box,transport items,2,1
1513,Box,can be used for large or small items,2,2
1513,Box,keeps things organized,1,2
1513,Box,allows for mass shipping of,2,1
1518,Box,hold something,1,2
1518,Box,stand on it,2,3
1518,Box,make a fort,3,3
1518,Box,cover something,3,2
1518,Box,trap something,3,3
1450,Box,storage,1,1
1450,Box,mail,2,1
1450,Box,moving,2,1
1461,Box,put things inside,2,1
1461,Box,you physically enter it,2,3
1461,Box,used to cover things,2,3
1461,Box,used as stepping stool,2,2
1461,Box,used as canvas fro art,3,3
1461,Box,cut up and use as clothing,4,4
1461,Box,make it a hat,3,3
1461,Box,make pet bed out of it,3,3
1461,Box,storage,1,1
1330,Box,table,3,3
1330,Box,chair,3,3
1330,Box,hold things,1,1
1330,Box,mail things,2,1
1330,Box,bird house,3,4
1330,Box,valentine's collector,3,4
1497,Box,store things,1,1
1497,Box,prop things up,2,2
1497,Box,make a costume,4,3
1407,Box,can be used as a toy,3,3
1407,Box,can be used to make something,3,3
1407,Box,can be used as a stool,2,2
1425,Box,keep things in,1,1
1425,Box,block off an area,3,4
1425,Box,trap an animal under,3,3
1425,Box,stand on (if full),2,2
1464,Box,Moving,2,2
1464,Box,packing food,2,2
1464,Box,delivering goods by mail,2,1
1464,Box,storing goods,1,2
1543,Box,make a fort,3,3
1543,Box,make a costume,4,3
1543,Box,use for fire starter,4,3
1543,Box,use as target for target practice,5,4
1543,Box,use to trap animals,3,3
1543,Box,eat food off of it,4,3
1543,Box,use as drum,4,4
1543,Box,cover a broken window with it,3,4
1543,Box,use as sled,2,3
1598,Box,transporting,2,2
1598,Box,collecting water,2,3
1598,Box,toy,4,3
1334,Box,fold,2,2
1334,Box,pack,2,2
1334,Box,fit,2,2
1334,Box,float,2,4
1334,Box,sleep,3,3
1334,Box,plate,3,3
1334,Box,office,3,4
1334,Box,hold,1,2
1362,Box,hold supplies,1,1
1362,Box,use as a stepping stool,2,2
1362,Box,insulation,2,3
1352,Box,store things when moving,2,2
1352,Box,to hold presents,2,2
1367,Box,to contain/store items,1,1
1367,Box,to use as a table,3,3
1367,Box,to use as a step,2,3
1621,Box,get it in,3,3
1621,Box,use it to store,1,1
1621,Box,use it for moving,2,1
1621,Box,stand on it,2,2
1621,Box,hide in it,4,3
1466,Box,package something,2,1
1466,Box,hide in,4,3
1466,Box,give a present,2,2
1466,Box,draw straight lines,5,4
1466,Box,storage,1,1
1587,Box,fort,3,3
1587,Box,ship something,2,1
1587,Box,turn it into armor,4,4
1587,Box,hold things,1,1
1587,Box,throw it back and forth with someone,3,4
1527,Box,Store things,1,2
1527,Box,build a fort,3,2
1527,Box,stand on,2,2
1372,Box,Make a fort,3,2
1372,Box,play with you cat in it,3,3
1372,Box,trap unwanted bugs or animals,3,3
1525,Box,put things in it,1,1
1525,Box,cut it open and use it as a floor mat,2,4
1525,Box,use it as a support to put things on,2,3
1525,Box,let a cat play in it,3,3
1525,Box,return things,2,1
