id,stim,response,flexibility_1,flexibility_2,
1551,Rope,use as a lasso,1,1,
1511,Rope,climbing,4,4,
1511,Rope,unraveling for materials,1,1,
1511,Rope,creating a decorative piece,3,3,
1511,Rope,hanging oneself,2,2,
1511,Rope,tying something together,1,1,
1511,Rope,fixing something,1,1,
1513,Rope,knots,1,1,
1513,Rope,tie down ships,1,1,
1513,Rope,make a pulley,1,1,
1513,Rope,rock climbers,4,4,
1513,Rope,tie things together,1,1,
1513,Rope,hold things down in truck,1,1,
1518,Rope,climb,1,1,
1518,Rope,hit someone,2,2,
1518,Rope,tie something together,1,1,
1518,Rope,use as a bow on a gift,3,3,
1518,Rope,working out,4,4,
1450,Rope,pull things,1,1,
1450,Rope,tie knots,4,4,
1461,Rope,tie things,1,1,
1461,Rope,shoe laces,3,3,
1461,Rope,climbing,4,4,
1461,Rope,lasso,1,1,
1461,Rope,used to soak up water,1,1,
1461,Rope,noose,2,2,
1461,Rope,tying thins together,1,1,
1461,Rope,to restrain people,1,1,
1461,Rope,used to help light a fire,1,1,
1461,Rope,used as whip,2,2,
1461,Rope,cut up for arts and craft,4,4,
1330,Rope,tying up a boat,1,1,
1330,Rope,tying knots,4,4,
1330,Rope,decoration,3,3,
1330,Rope,leash for animal,1,1,
1330,Rope,hold a swing up,4,4,
1330,Rope,climbing,4,4,
1497,Rope,climb something,1,1,
1497,Rope,tie two things together,1,1,
1497,Rope,perform an execution,2,2,
1497,Rope,play jump rope,4,4,
1407,Rope,can be used to decorate a house,3,3,
1407,Rope,used as a dog toy,4,4,
1407,Rope,used as an accessory,3,3,
1425,Rope,to swing,4,4,
1425,Rope,to climb,4,4,
1425,Rope,to tie things together,1,1,
1425,Rope,to strangle,2,2,
1425,Rope,to close off an area,1,1,
1425,Rope,to hang something,1,1,
1425,Rope,to lasso something,1,1,
1464,Rope,Jumping rope,4,4,
1464,Rope,tie a knot,1,1,
1464,Rope,tug of war,4,4,
1464,Rope,climbing,4,4,
1464,Rope,safety harness,1,1,
1464,Rope,drop an anchor,1,1,
1543,Rope,Tie stuff up,1,1,
1543,Rope,hang decorations,3,3,
1543,Rope,pull out a tooth,1,1,
1543,Rope,burn/use for fire starter,1,1,
1543,Rope,make a leash,1,1,
1543,Rope,use as a whip,2,2,
1598,Rope,sailing,4,4,
1598,Rope,noose,2,2,
1598,Rope,gym workouts,4,4,
1334,Rope,tie,1,1,
1334,Rope,capture,1,1,
1334,Rope,hang,1,1,
1334,Rope,climb,4,4,
1334,Rope,knot,4,4,
1362,Rope,tie knots,4,4,
1362,Rope,save lives,1,1,
1362,Rope,climb mountains,1,1,
1362,Rope,hoist supplies,1,1,
1352,Rope,tie a swing on a tree,4,4,
1352,Rope,tie around a box,1,1,
1352,Rope,tug of war,4,4,
1367,Rope,to pull something,1,1,
1367,Rope,to tighten around something,1,1,
1367,Rope,to lock a door,1,1,
1367,Rope,to hang up something,1,1,
1367,Rope,to swing around,4,4,
1621,Rope,tie it,1,1,
1621,Rope,tow something with it,1,1,
1621,Rope,climb it,1,1,
1621,Rope,throw it down a hole,1,1,
1621,Rope,use it to repel,4,4,
1621,Rope,use it to hit something,1,1,
1621,Rope,play tug of war,4,4,
1466,Rope,climb,1,1,
1466,Rope,tie a knot,1,1,
1466,Rope,dock a boat,1,1,
1466,Rope,tug of war,4,4,
1587,Rope,jump rope,4,4,
1587,Rope,tie up a dog,1,1,
1587,Rope,lasso yourself to a cliff,1,1,
1587,Rope,build a bridge,1,1,
1587,Rope,use as a belt,3,3,
1587,Rope,make a string instrument,4,4,
1527,Rope,Tie Knots,4,4,
1527,Rope,lasso things,1,1,
1527,Rope,fasten things together,1,1,
1527,Rope,pull something,1,1,
1527,Rope,use as a guard rail,1,1,
1372,Rope,Tie things together,1,1,
1372,Rope,practice knotting,4,4,
1372,Rope,play jump rope,4,4,
1525,Rope,tie things,1,1,
1525,Rope,hold things up,1,1,
1525,Rope,used to help carry things,1,1,
1525,Rope,secure things,1,1,
1525,Rope,hang someone,2,2,
1525,Rope,make a swing,4,4,
1525,Rope,tow things,1,1,
