id,item,response,novelty_1,novelty_2,response_processed,cluster_freq,originality,freq,t_freq
1176,Brick,landscaping,1,2,landscaping,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1176,Brick,building things,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1176,Brick,Breaking things,2,2,breaking,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1176,Brick,holding things,2,3,holding,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1258,Brick,to build building with,1,1,build building,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1258,Brick,to throw,3,2,throw,0.9745547073791349,0,0.025445292620865145,0.4392135339500467
1258,Brick,to prop something up against,2,2,prop,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1258,Brick,to create a wall between two people,1,1,create wall people,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1186,Brick,smack,2,2,smack,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1186,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1186,Brick,home for mice,3,1,home mouse,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1186,Brick,container,4,4,container,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1186,Brick,secret slot,4,3,secret slot,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1186,Brick,paperweight,2,3,paperweight,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1186,Brick,decoration,3,3,decoration,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1186,Brick,cooking,2,3,cooking,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1186,Brick,brick cheese,2,3,brick cheese,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1174,Brick,make a house,1,1,house,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1174,Brick,smash someones head,3,2,smash someone head,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1174,Brick,use as pillow,5,4,pillow,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1133,Brick,buildings,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1133,Brick,painting on the brick,4,3,painting brick,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1133,Brick,throwing the brick,3,2,throwing brick,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1133,Brick,using it to hammer something,3,3,hammer,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1133,Brick,using it to hold paper down,2,3,hold paper,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1133,Brick,using it to prop something,2,3,prop,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1138,Brick,building a house,1,1,building house,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1138,Brick,paperweight,2,3,paperweight,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1138,Brick,to attack someone,3,2,attack,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1138,Brick,to be used in art,4,4,art,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1221,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1221,Brick,paperweight,2,3,paperweight,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1221,Brick,hate message to throw through a window,4,3,hate message throw window,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1221,Brick,toys,3,4,toy,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1221,Brick,cook on it if it gets hot enough in the sun,2,4,cook get hot sun,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1221,Brick,line a park's exterior border,1,1,line park exterior border,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1194,Brick,build something,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1194,Brick,weigh papers down,2,2,weigh paper,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1194,Brick,break something,2,2,break,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1194,Brick,use as a weight while working out,3,3,weight working,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1147,Brick,to build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1147,Brick,to stand on to be taller,4,3,stand taller,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1147,Brick,to use as a paperweight,2,3,paperweight,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1147,Brick,to paint,3,1,paint,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1162,Brick,build house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1162,Brick,smash a window,2,2,smash window,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1162,Brick,use it as a weight,2,2,weight,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1102,Brick,building houses,1,1,building house,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1102,Brick,hitting,2,2,hitting,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1102,Brick,throwing,3,2,throwing,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1102,Brick,stacking,2,1,stacking,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1230,Brick,build a structure (house,1,1,build structure house,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1230,Brick,steps,1,1,step,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1230,Brick,create a small animal trap,4,5,create small animal trap,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1230,Brick,a weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1230,Brick,a weight for holding something down or working out,2,3,weight holding working,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1123,Brick,stone,1,3,stone,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1129,Brick,build things,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1129,Brick,hold something (such as a tarp) down when it's windy,2,3,hold tarp windy,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1228,Brick,break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1228,Brick,build a wall,1,1,build wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1228,Brick,raise objects,2,2,raise object,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1228,Brick,use as a weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1228,Brick,weigh down a,2,2,weigh,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1193,Brick,to break,2,2,break,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1193,Brick,to knock someone out,2,2,knock,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1193,Brick,to build,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1193,Brick,to stand on,2,2,stand,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1193,Brick,to use as a writing surface,4,3,writing surface,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1193,Brick,to scrape against something,4,3,scrape,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1193,Brick,to use as a weight,2,2,weight,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1180,Brick,wall,1,1,wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1180,Brick,lay down bricks,1,1,lay brick,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1180,Brick,hold down an object that will blow away,2,2,hold object blow away,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1180,Brick,throw a brick at something,3,2,throw brick,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1180,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1209,Brick,wall,1,1,wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1209,Brick,house,1,1,house,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1209,Brick,throwing at people in old times,3,2,throwing people old time,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1209,Brick,fire pits,2,3,fire pit,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1209,Brick,driveways,2,1,driveway,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1226,Brick,to smash a window,2,2,smash window,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1226,Brick,to build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1226,Brick,to build a wall,1,1,build wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1226,Brick,to use as a door stop,2,3,door stop,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1226,Brick,to use as a weigh or counterbalance,2,3,weigh counterbalance,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1226,Brick,to use as a projectile in a fight,3,3,projectile fight,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1121,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1121,Brick,break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1121,Brick,use as a paper weight,2,2,paper weight,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1121,Brick,use as stepping stool,3,2,stepping stool,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1121,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1118,Brick,build house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1118,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1118,Brick,used in oven,3,4,oven,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1118,Brick,barricade,4,1,barricade,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1118,Brick,can be painted on for art,3,3,painted art,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1460,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1460,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1460,Brick,breaking into somewhere,2,2,breaking,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1460,Brick,art piece,4,3,art piece,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1488,Brick,build houses and other buildings,1,1,build house building,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1488,Brick,as a weapon (to break glass/houses or injure people),2,2,weapon break glass house injure people,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1488,Brick,as an object to prop up other objects and get them to the ri,2,2,object prop object ri,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1533,Brick,material for a house,1,1,material house,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1533,Brick,door stop,2,2,door stop,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1533,Brick,paper weight,2,2,paper weight,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1373,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1373,Brick,break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1373,Brick,hurt someone,3,2,hurt,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1373,Brick,test gravity,4,4,test gravity,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1373,Brick,break something (like a lock),2,1,break like lock,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1373,Brick,weigh paper down,2,2,weigh paper,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1373,Brick,sanding,2,5,sanding,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1603,Brick,house,1,1,house,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1603,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1603,Brick,paper weight,2,2,paper weight,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1599,Brick,To build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1599,Brick,to kill someone,3,2,kill,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1599,Brick,to use it as a means of trading,4,4,mean trading,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1528,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1528,Brick,to break something,2,2,break,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1528,Brick,hold something down,2,2,hold,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1528,Brick,hold a door open,2,1,hold door open,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1442,Brick,to build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1442,Brick,to use as a stepping stone,3,2,stepping stone,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1442,Brick,to throw at someone,3,2,throw,0.9745547073791349,0,0.025445292620865145,0.4392135339500467
1442,Brick,to use as a weight,2,2,weight,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1442,Brick,to draw on,2,3,draw,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1442,Brick,to paint,3,3,paint,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1442,Brick,to bury,3,4,bury,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1442,Brick,to decorate,3,3,decorate,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1614,Brick,Build a house with it,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1614,Brick,use it as a weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1503,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1503,Brick,break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1503,Brick,use as a weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1328,Brick,to break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1328,Brick,to make a building/house,1,1,building house,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1328,Brick,to use as a stand to reach something higher,2,2,stand reach higher,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1328,Brick,to use in the lifeguard test to represent carrying a person,5,5,lifeguard test represent carrying person,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1328,Brick,for use in self defense,2,2,self defense,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1472,Brick,to smash,2,2,smash,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1472,Brick,to build,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1472,Brick,to weigh down,2,2,weigh,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1472,Brick,to exercise,3,2,exercise,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1472,Brick,to eat,4,5,eat,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1472,Brick,to grind,3,2,grind,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1463,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1463,Brick,lining for a patio of sorts,1,2,lining patio sort,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1463,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1463,Brick,dust,2,4,dust,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1463,Brick,cooking,3,4,cooking,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1463,Brick,planting,2,4,planting,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1531,Brick,build buildings,1,1,build building,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1531,Brick,throwing,3,2,throwing,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1531,Brick,decoration,3,3,decoration,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1402,Brick,throwing,3,2,throwing,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1402,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1402,Brick,smashing,2,2,smashing,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1402,Brick,weighing something down,2,2,weighing,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1402,Brick,standing on it (for height),2,2,standing height,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1526,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1526,Brick,crack an object,3,2,crack object,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1526,Brick,stepping block,3,2,stepping block,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1526,Brick,weights,2,2,weight,0.9694656488549618,0,0.03053435114503822,0.38545854765166954
1526,Brick,use to grind objects,2,2,grind object,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1440,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1440,Brick,break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1440,Brick,weigh down papers,2,2,weigh paper,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1440,Brick,pave a street,1,2,pave street,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1610,Brick,hit someone,2,2,hit,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1610,Brick,stack them up to form a wall,1,1,stack form wall,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1610,Brick,break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1610,Brick,sit on it as a little stool,2,2,sit little stool,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1610,Brick,open a bottle against it,3,3,open bottle,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1610,Brick,place something on top of it so it doesn't touch the ground,3,2,place doesnt touch ground,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1320,Brick,build a building,1,1,build building,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1320,Brick,hit someone,2,2,hit,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1320,Brick,carve into it,3,2,carve,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1320,Brick,door stopper,2,2,door stopper,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1382,Brick,build something,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1382,Brick,paper weight,2,2,paper weight,0.9821882951653944,0,0.01781170483460559,0.5436641334229768
1382,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1382,Brick,weightlifting,3,3,weightlifting,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1382,Brick,step stool,3,2,step stool,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1382,Brick,break something,2,2,break,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1382,Brick,write on other rocks,3,3,write rock,0.9923664122137404,0,0.007633587786259555,0.7526424279636854
1458,Brick,build things,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1458,Brick,hold things in place,2,2,hold place,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1458,Brick,throw things,3,2,throw,0.9745547073791349,0,0.025445292620865145,0.4392135339500467
1559,Brick,to break a window,2,2,break window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1559,Brick,to build a wall,1,1,build wall,0.9770992366412213,0,0.022900763358778664,0.47040925413228757
1559,Brick,to make a stand for something,2,3,stand,0.989821882951654,0,0.010178117048346036,0.6903396519896845
1559,Brick,to use as defense,2,2,defense,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1559,Brick,to weigh something down,2,2,weigh,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1559,Brick,to prop something up like a phone,2,2,prop like phone,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1347,Brick,To build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1347,Brick,to throw at someone,3,2,throw,0.9745547073791349,0,0.025445292620865145,0.4392135339500467
1347,Brick,to step on to reach something,3,2,step reach,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1347,Brick,to hold down a tarp,3,2,hold tarp,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1347,Brick,to sit on top of,2,2,sit,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1347,Brick,to stabilize a building,1,1,stabilize building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1417,Brick,build things,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1417,Brick,step stool,3,2,step stool,0.9643765903307888,0,0.03562340966921118,0.3410004658566797
1417,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1417,Brick,pillow,5,4,pillow,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1547,Brick,house building,1,1,house building,0.9796437659033079,0,0.020356234096692072,0.5050505380809596
1547,Brick,campfire,3,3,campfire,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1547,Brick,throwing to get in a window,3,2,throwing window,0.9847328244274809,0,0.01526717557251911,0.5868814336035014
1563,Brick,to build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
1563,Brick,to weigh something down,2,2,weigh,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1563,Brick,to break a glass window,2,2,break glass window,0.9338422391857506,0,0.0661577608142494,0.1852864010057955
1507,Brick,throwing it at someone,3,2,throwing,0.9872773536895675,0,0.012722646310432517,0.6354644536698373
1507,Brick,building something,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1507,Brick,growing a plant,2,4,growing plant,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1507,Brick,blocking,3,3,blocking,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1622,Brick,weapon,2,2,weapon,0.9465648854961832,0,0.05343511450381677,0.23367056548794282
1622,Brick,phone,4,5,phone,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1622,Brick,building,1,1,building,0.9541984732824428,0,0.04580152671755722,0.27239250170632234
1622,Brick,painting,3,3,painting,0.9949109414758269,0,0.0050890585241730735,0.8237763282112538
1622,Brick,table,2,4,table,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1366,Brick,to build,1,1,build,0.9669211195928753,0,0.0330788804071247,0.3622085837775468
1366,Brick,use as an anchor,4,2,anchor,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1366,Brick,as a throwing weapon,3,3,throwing weapon,0.9974554707379135,1,0.0025445292620864812,0.9054927917734183
1366,Brick,crush insects,2,3,crush insect,0.8193384223918575,0,0.1806615776081425,0.046988273999541835
1413,Brick,build a house,1,1,build house,0.9363867684478372,0,0.06361323155216281,0.19367884341192995
