id,item,response,rating,creativity
1118,Key,to lock doors,1,1
1118,Key,as a weapon,3,3
1118,Key,to keep things out,4,2
1118,Key,as a necklace,3,3
1460,Key,lock/unlock,3,1
1460,Key,weapon,3,3
1460,Key,jewelry,3,3
1488,Key,unlock objects,1,1
1488,Key,carve letters/symbols in objects,3,3
1488,Key,possible weapon,3,3
1488,Key,can be used for making copies of that key,2,4
1488,Key,decoration perhaps,3,4
1533,Key,opening a door,1,1
1533,Key,cutting open a letter,2,3
1533,Key,marking a piece of wood,4,3
1373,Key,lock a door,1,1
1373,Key,self defense,3,3
1373,Key,scratch head,3,3
1603,Key,lock,1,1
1603,Key,car,1,1
1603,Key,necklace,3,3
1603,Key,chain,3,2
1599,Key,To kill someone,3,4
1599,Key,to open a door,1,1
1528,Key,unlock door,1,1
1528,Key,table of contents,4,4
1528,Key,scratch offs,3,3
1442,Key,to unlock,1,1
1442,Key,to make jewelry out of,3,3
1442,Key,to cut something with,2,3
1442,Key,to scratch off lottery tickets,3,3
1442,Key,to paint,5,4
1442,Key,to build a puzzle with,4,5
1442,Key,to tape to the wall for decoration,3,4
1614,Key,opening packages,2,3
1614,Key,scratching someone's car,3,3
1614,Key,opening locks,1,1
1614,Key,using it like a toothpick,4,5
1614,Key,putting keys between your knuckles,3,3
1503,Key,open a door,1,1
1503,Key,scratch something,3,3
1503,Key,use as a weapon,3,3
1328,Key,to unlock a door,1,1
1328,Key,to scratch someone's car,3,3
1328,Key,to use in self defense,3,3
1328,Key,to cut something in half,2,3
1472,Key,to open,1,1
1472,Key,to kill,3,4
1472,Key,to scratch,3,3
1472,Key,to close,1,1
1472,Key,to melt,4,4
1463,Key,unlocking,1,1
1463,Key,twisting,4,2
1463,Key,stabbing (weapon),3,3
1463,Key,decoration,3,4
1463,Key,jewelry,3,3
1463,Key,paperweight,3,4
1463,Key,charm for bracelet or chain,3,3
1463,Key,writing,5,5
1463,Key,delineate,4,4
1531,Key,opening door,1,1
1531,Key,cutting a cardboard box,2,3
1531,Key,cutting someone's skin,3,3
1531,Key,driving a car,1,1
1531,Key,opening a box,1,3
1531,Key,locking a diary,1,1
1402,Key,Get in a house,1,1
1402,Key,open a can,2,1
1402,Key,as a wedge,3,4
1526,Key,lock,1,1
1526,Key,open,1,1
1526,Key,mark/graffiti,3,4
1526,Key,pick,2,3
1526,Key,weapon,3,3
1526,Key,reflection,4,5
1440,Key,open door,1,1
1440,Key,open box,1,1
1440,Key,drive car,1,1
1440,Key,keep journal locked,1,1
1440,Key,pop a balloon,2,4
1610,Key,open a door,1,1
1610,Key,unlock a chest,1,1
1610,Key,cut through tape,2,3
1610,Key,turn on a car,1,1
1610,Key,lock something,1,1
1320,Key,open a door,1,1
1320,Key,scratch an itch,3,3
1320,Key,carve into something,3,3
1320,Key,cut food like a knife,2,3
1382,Key,unlock door,1,1
1382,Key,cut something,2,1
1382,Key,screwdriver,3,4
1382,Key,fidget toy,4,4
1382,Key,musical instrument,5,4
1458,Key,open door,1,1
1458,Key,open drink to shotgun,3,3
1458,Key,cut things,2,3
1559,Key,unlock a door,1,1
1559,Key,open a beer bottle,3,3
1559,Key,scratch a car,3,3
1559,Key,scratch off a lottery ticket,3,3
1559,Key,open a car window,1,3
1559,Key,self defense,3,3
1559,Key,necklace/jewelry,3,3
1347,Key,Unlock a door,1,1
1347,Key,pick a lock,1,3
1347,Key,scratch your back,3,3
1347,Key,open a bottle,2,3
1347,Key,stab a hole in a can,2,3
1347,Key,use as a weapon if someone is attacking you unexpectedly/self defense,3,3
1347,Key,medium of exchange,5,5
1347,Key,worn on a necklace,3,3
1347,Key,given as a gift to someone you love and trust,3,4
1417,Key,unlock house,1,1
1417,Key,necklace,3,3
1417,Key,key someone's car,3,3
1417,Key,weapon,3,3
1547,Key,get into a house,1,1
1547,Key,open a package by cutting the tape,2,3
1547,Key,getting into a mail box,1,1
1563,Key,to unlock a door,1,1
1563,Key,to open a can,2,3
1563,Key,to scratch a car,3,3
1507,Key,scratching off a lottery ticket,3,3
1507,Key,unlocking a door,1,1
1507,Key,creating a necklace,3,3
1622,Key,door opening,1,1
1622,Key,music,4,4
1622,Key,heart,5,4
1622,Key,answer,4,4
1366,Key,unlock/lock doors,1,1
1366,Key,mail opener,2,1
1413,Key,unlock something,1,1
1413,Key,use for self defense,3,3
1413,Key,use to scratch off (ex lottery ticket),3,3
1413,Key,cut something,2,3
1413,Key,etch something,3,3
1500,Key,open door,1,1
1500,Key,use the tip to screw a nail for glasses,3,4
1500,Key,open the packaging of a box,2,3
1453,Key,open doors,1,1
1453,Key,open packages,2,3
1453,Key,cut things,2,3
1514,Key,unlock a door,1,1
1514,Key,necklace,3,3
1514,Key,as a tool to cut something,2,3
1514,Key,a weapon,3,3
1514,Key,start a car,1,1
1514,Key,art,3,3
1449,Key,unlock a lock,1,1
1449,Key,cut tape from a package,2,3
1449,Key,weapon,3,3
1449,Key,clean small spaces,4,4
1506,Key,open lock,1,1
1506,Key,close lock,1,1
1506,Key,turn on engine,1,2
1506,Key,turn off engine,1,2
1551,Key,open a door,1,1
1551,Key,bridge a gap in a circuit,5,5
1551,Key,bookmark in a book,4,3
1551,Key,etch something into a hard surface,3,3
1511,Key,unlocking a door,1,1
1511,Key,stabbing someone,3,3
1511,Key,cutting something,2,3
1511,Key,using as a bottle opener,2,3
1513,Key,unlock doors,1,1
1513,Key,blueprint for same key,3,4
1513,Key,open wine bottle,4,3
1513,Key,open boxes,2,3
1513,Key,unlock car,1,1
1518,Key,unlock things,1,1
1518,Key,cut things,2,1
1518,Key,melt down,4,4
1518,Key,making music,5,4
1518,Key,scratch a car,3,3
1518,Key,draw,4,4
1450,Key,unlock doors,1,1
1450,Key,shotgun a beer,3,2
1461,Key,unlock stuff,1,1
1461,Key,used as a magnet,3,4
1461,Key,used to scratch off lottery tickets,3,3
1461,Key,made into earrings,3,4
1461,Key,used for protection and close combat,3,3
1461,Key,used to reflect sun and start a fire,5,4
1461,Key,starting cars,1,1
1330,Key,open a door,1,1
1330,Key,jewelry,3,3
1330,Key,define list of things for reference,4,1
1497,Key,unlock a door,1,1
1497,Key,open a package,2,3
1497,Key,damage a car,3,3
1407,Key,can be used as jewelry,3,3
1425,Key,open door,1,1
1425,Key,open packages,2,3
1425,Key,carve a hole,3,3
1425,Key,open a bottle,2,3
1464,Key,open a lock,1,1
1464,Key,open a can,1,3
1464,Key,cut a box,2,3
1464,Key,scratch off,3,3
1543,Key,unlock things,1,1
1543,Key,melt and turn into a ring,4,4
1543,Key,self defense (stab in eye),3,3
1543,Key,throwing it at someone to get their attention,5,4
1543,Key,use the tip as a screwdriver,3,4
1543,Key,tie to rope and turn into mace like weapon,4,3
1598,Key,open things,2,1
1598,Key,cut,1,3
1598,Key,poke holes,2,3
1334,Key,door,1,1
1334,Key,cut,1,3
1334,Key,jam,3,3
1362,Key,open a door,1,1
1362,Key,wear as a necklace,3,3
1362,Key,help open cans,2,3
1362,Key,identify a door,2,4
1352,Key,open a door,1,1
1352,Key,wear as a necklace,3,3
1352,Key,scratch off a lottery ticket,3,1
1352,Key,key someone's car,3,3
1367,Key,to open doors,1,1
1367,Key,to open mail/boxes,2,1
1367,Key,to scratch,3,3
1367,Key,to shotgun a beer,3,3
1367,Key,to use as a weapon,3,3
1621,Key,unlock door,1,1
1621,Key,break a window,4,4
1621,Key,reach in small space,3,4
1621,Key,open a package with it,2,3
1466,Key,unlock a door,1,1
1466,Key,open a package,2,3
1587,Key,unlock something,1,1
1587,Key,open a package,2,3
1587,Key,start a car,1,1
1587,Key,defend yourself,3,3
1587,Key,use in persuasion,5,5
1587,Key,probably eat with it,5,4
1587,Key,sounds like a sleigh bell with other keys,5,4
1587,Key,fashion,3,4
1527,Key,enter things,1,1
1527,Key,scratch off lottery ticket,3,3
1527,Key,break tape,2,3
1372,Key,Open a package or letter,2,3
1372,Key,scratch a lottery ticket,3,3
1372,Key,mark a food box with your initials,3,3
1525,Key,use on a lock,1,1
1525,Key,use to cut open packaging,2,3
1525,Key,clean your fingernails,4,4
